Track,Artist,Spotify Streams,Explicit Track
"Taste (feat. Offset)","Tyga",1358105253,1
"Stay With Me","Sam Smith",2086460781,0
"All Girls Are The Same","Juice WRLD",1615353665,1
"PILLOWTALK","ZAYN",1320205697,1
"Like Crazy","Jimin",1165398518,0
"ROCKSTAR (feat. Roddy Ricch)","DaBaby",1638836101,1
"Umbrella","Rihanna",1535595924,0
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris",1120187276,1
"Young, Wild & Free (feat. Bruno Mars)","Snoop Dogg",1431126152,1
"Dance Monkey","Tones And I",3071214106,0
"Astronaut In The Ocean","Masked Wolf",1251675613,1
"This Is What You Came For","Calvin Harris",1746790923,0
"Where Are You Now","Lost Frequencies",1223329465,0
"Firestone","Kygo",1106264600,0
"i hate u, i love u (feat. olivia o'brien)","gnash",1405772026,1
"Look What You Made Me Do","Taylor Swift",1152346128,0
"Cruel Summer","Taylor Swift",2188247133,0
"Happy - From Despicable Me 2","Pharrell Williams",1379786786,0
"XO Tour Llif3","Lil Uzi Vert",2123458039,1
"Ride It","Regard",1349427877,0
"See You Again (feat. Kali Uchis)","Tyler, The Creator",1610423351,1
"Thinking out Loud","Ed Sheeran",2502925593,0
"Creepin' (with The Weeknd & 21 Savage)","Metro Boomin",1337619917,1
"Unstoppable","Sia",1285237951,0
"One Dance","Drake",3192204066,0
"Lose Yourself - From 8 Mile Soundtrack","Eminem",2194935773,1
"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",2014959725,1
"This Girl (Kungs Vs. Cookin' On 3 Burners)","Kungs",1121107262,0
"Do I Wanna Know?","Arctic Monkeys",2188592950,0
"Last Friday Night (T.G.I.F.)","Katy Perry",1144535829,0
"Danza Kuduro - Cover","WORK OUT GYM - DJ MIX",1642258500,1
"Unforgettable","French Montana",2065697126,1
"Believer","Imagine Dragons",3006226762,0
"Havana (feat. Young Thug)","Camila Cabello",2072182782,0
"Danza Kuduro - Cover","WORK OUT GYM - DJ MIX",1642258500,1
"Hello","Adele",1550553401,0
"traitor","Olivia Rodrigo",1564979439,0
"Natural","Imagine Dragons",1228556153,0
"Con Calma","Daddy Yankee",1353028938,0
"Better Now","Post Malone",1953403531,1
"MONTERO (Call Me By Your Name)","Lil Nas X",1902241314,0
"Stressed Out","Twenty One Pilots",2313532702,0
"Sugar","Maroon 5",1838092894,1
"Let Her Go","Passenger",2252713547,0
"7 rings","Ariana Grande",2262490403,1
"Danza Kuduro - Cover","MUSIC LAB JPN",1627429837,1
"Watermelon Sugar","Harry Styles",2708151499,0
"STAY (with Justin Bieber)","The Kid LAROI",3107100349,0
"I Like Me Better","Lauv",1784308411,0
"Shallow","Lady Gaga",2447973078,0
"Todo De Ti","Rauw Alejandro",1339352060,1
"Life Is Good (feat. Drake)","Future",1237874594,1
"IDGAF","Lucixn",1577904955,1
"LOVE. FEAT. ZACARI.","Kendrick Lamar",1343672718,1
"good 4 u","Olivia Rodrigo",2167768056,1
"Young Dumb & Broke","Khalid",1527159800,0
"XO Tour Llif3","Lil Uzi Vert",2123458039,1
"Be Alright","Dean Lewis",1749353402,1
"Friends","Marshmello",1436709386,0
"Waiting For Love","Avicii",1397975653,0
"Old Town Road - Remix","Lil Nas X",1527106099,0
"Hope","XXXTENTACION",1442703001,1
"Uptown Funk","Mark Ronson",1993030264,1
"Blueberry Faygo","Lil Mosey",1295251940,1
"Locked Out Of Heaven","Bruno Mars",2004657631,0
"Me, Myself & I","G-Eazy",1280838046,1
"Dakiti","Bad Bunny",1977947460,1
"Stitches","Shawn Mendes",1907768690,0
"Love The Way You Lie","Eminem",1532052160,1
"Poker Face ( Remix )","Bora Media",1271094976,0
"Heartbreak Anniversary","Giveon",1157206056,0
"happier","Olivia Rodrigo",1133535049,1
"Diamonds","Rihanna",1419912461,0
"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",3358704125,0
"The Night We Met","Lord Huron",2097181065,0
"Youngblood","5 Seconds of Summer",1790579305,0
"I Love You So","The Walters",1410353130,0
"Side To Side","Ariana Grande",1427792654,1
"In the End","Linkin Park",2045512421,0
"Symphony (feat. Zara Larsson)","Clean Bandit",1456894713,0
"abcdefu","GAYLE",1128273165,1
"Cake By The Ocean","DNCE",1623436416,1
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","DJ Snake",1570233605,1
"you broke me first","Tate McRae",1439465700,1
"Always Remember Us This Way","Lady Gaga",1269760706,0
"HUMBLE.","Kendrick Lamar",2226869580,1
"IDGAF","Dua Lipa",1583012380,1
"When We Were Young","Adele",1284096603,0
"One Kiss (with Dua Lipa)","Calvin Harris",2178606166,0
"Ella Baila Sola","Eslabon Armado",1215336974,0
"Danza Kuduro - Cover","LOVE BGM JPN",1645079292,1
"Falling","Harry Styles",1225776509,0
"Bohemian Rhapsody","Queen",2486908570,0
"Ojitos Lindos","Bad Bunny",1421763497,0
"Work from Home (feat. Ty Dolla $ign)","Fifth Harmony",1429277695,0
"Boy With Luv (feat. Halsey)","BTS",1165842896,0
"Flowers","Miley Cyrus",2031280633,0
"MONTERO (Call Me By Your Name)","Lil Nas X",1902241314,1
"STAY (with Justin Bieber)","The Kid LAROI",3107100349,1
"Kill Bill","SZA",1873746537,0
"rockstar (feat. 21 Savage)","Post Malone",2960046642,1
"Gangsta's Paradise (feat. L.V.)","Coolio",1666699743,0
"The Middle","Zedd",1503269550,0
"Dangerous Woman","Ariana Grande",1120622892,0
"All I Want for Christmas Is You","Mariah Carey",1810649765,0
"Needed Me","Rihanna",1483572312,1
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap",1692951462,0
"No Role Modelz","J. Cole",2235160830,1
"Bring Me To Life","Evanescence",1129346989,0
"I'm Yours","Jason Mraz",1878098512,0
"Pepas","Farruko",1500499584,1
"White Iverson","Post Malone",1135209969,1
"The Less I Know The Better","Tame Impala",1644031037,1
"Pompeii","Bastille",1590278292,0
"Tusa","KAROL G",1497511486,0
"hot girl bummer","blackbear",1265080733,1
"Better Now","Post Malone",1953403531,0
"Timber (feat. Ke$ha)","Pitbull",1477150302,0
"Location","Khalid",1369299352,0
"Danza Kuduro - Cover","MUSIC LAB JPN",1653018119,1
"Wake Me Up","Avicii",2325017580,0
"Classic","MKTO",1350428257,0
"Sorry Not Sorry","Demi Lovato",1156601592,1
"La Bachata","Manuel Turizo",1721045197,0
"Summer","Calvin Harris",1497564072,0
"Treat You Better","Shawn Mendes",2164074552,0
"That's What I Like","Bruno Mars",2075459887,0
